Time,Music Background,Score,AE,MT,PA,TOTAL MSI SCORE
1.624,No,6,3.666667,4.5,4,4.055556
1.37,No,3,3.5,4,4.166667,3.888889
185.027,Yes,16,4,4.5,4.666667,4.388889
185.022,No,11,4.666667,4.833333,5.166667,4.888889
52.635,Yes,12,6,4.5,5.5,5.333333
185.121,No,15,2.666667,2.333333,2.833333,2.611111
40.671,Yes,7,3.666667,3.666667,3.666667,3.666667
185.025,No,17,4,4,4.166667,4.055556
185.019,No,18,3.5,3.5,5,4
129.14,Yes,13,4.333333,4.333333,5,4.555556
185.063,Yes,19,3.666667,4.166667,5.166667,4.333333
11.305,No,10,2.666667,3.5,3.833333,3.333333
185.129,No,17,6,5,6,5.666667
5.19,Yes,13,4.333333,4,4.5,4.277778
185.009,Yes,19,4.666667,4.666667,3.333333,4.222222
185.032,Yes,17,5.166667,3.333333,4,4.166667
185.013,No,16,4.833333,2.333333,3.833333,3.666667
185.114,No,17,5,4.833333,5,4.944444
185.126,Yes,11,3.166667,2.333333,3,2.833333
5.233,Yes,5,5,4.666667,3.666667,4.444444
185.132,No,13,3.833333,3.333333,4.333333,3.833333
185.024,Yes,12,4.833333,2.333333,3.333333,3.5
85.299,No,6,4.166667,2,3.5,3.222222
93.568,No,17,4.666667,3.333333,5.166667,4.388889
185.015,No,14,4.833333,5.5,4.833333,5.055556
185.041,Yes,18,4.5,2.166667,4.166667,3.611111
120.841,No,7,3.666667,2.666667,4.666667,3.666667
135.3,No,13,4.833333,5.666667,5.333333,5.277778
185.112,Yes,10,4.5,3.166667,6,4.555556
185.017,No,19,3,2,3.833333,2.944444
73.782,No,11,3.833333,3.5,4.666667,4
38.7,No,8,6.5,3.666667,4.666667,4.944444
185.02,Yes,17,5,4.166667,4.333333,4.5
185.129,No,19,2.166667,2.333333,3.5,2.666667
45.348,No,12,4.833333,2.833333,3.166667,3.611111
93.931,Yes,10,4,2.166667,3.833333,3.333333
185.124,Yes,17,6,5,6.166667,5.722222
185.014,No,15,5.5,4.833333,4.5,4.944444
185.028,Yes,12,3.5,3,4.333333,3.611111
11.671,No,7,3.833333,4.5,3.666667,4
185.131,Yes,19,2.5,3.333333,3.5,3.111111
185.012,No,13,3,2.166667,2.166667,2.444444
185.033,Yes,17,5,5.166667,4.333333,4.833333
185.027,No,13,5.333333,3,5.666667,4.666667
185.094,Yes,13,3.333333,3.166667,3.833333,3.444444
185.025,Yes,13,5.166667,1.833333,4,3.666667
20.719,Yes,19,5.333333,4.666667,4.333333,4.777778
185.148,No,9,3.833333,2.166667,4.333333,3.444444
185.013,Yes,16,3.166667,3.166667,4,3.444444
22.632,Yes,13,2.5,3.166667,3.5,3.055556
185.004,Yes,17,2,2.833333,3,2.611111
2.201,No,6,4.833333,5.166667,4.333333,4.777778